deltaMax;Amount;P(X|Match);deltaMax;Amount;P(X|Match)
0;1016;0.053229947;0.053229947;1016;0.053229947
1;2309;0.12097239;0.12097239;2309;0.12097239
2;1394;0.073034002;0.073034002;1394;0.073034002
3;1339;0.07015246;0.07015246;1339;0.07015246
4;1119;0.05862629;0.05862629;1119;0.05862629
5;1150;0.060250432;0.060250432;1150;0.060250432
6;1126;0.058993032;0.058993032;1126;0.058993032
7;1002;0.052496464;0.052496464;1002;0.052496464
8;975;0.051081888;0.051081888;975;0.051081888
9;892;0.046733379;0.046733379;892;0.046733379
10;897;0.046995337;0.046995337;897;0.046995337
11;796;0.041703777;0.041703777;796;0.041703777
12;755;0.039555719;0.039555719;755;0.039555719
13;699;0.036621784;0.036621784;699;0.036621784
14;620;0.032482842;0.032482842;620;0.032482842
15;550;0.028815424;0.028815424;550;0.028815424
16;489;0.025619532;0.025619532;489;0.025619532
17;467;0.024466915;0.024466915;467;0.024466915
18;381;0.01996123;0.01996123;381;0.01996123
19;318;0.016660554;0.016660554;318;0.016660554
20;250;0.01309792;0.01309792;250;0.01309792
21;148;0.007753969;0.007753969;148;0.007753969
22;144;0.007544402;0.007544402;144;0.007544402
23;85;0.004453293;0.004453293;85;0.004453293
24;61;0.003195892;0.003195892;61;0.003195892
25;30;0.00157175;0.00157175;30;0.00157175
26;21;0.001100225;0.001100225;21;0.001100225
27;9;0.000471525;0.000471525;9;0.000471525
28;16;0.000838267;0.000838267;16;0.000838267
29;7;0.000366742;0.000366742;7;0.000366742
30;8;0.000419133;0.000419133;8;0.000419133
31;3;1.57E-04;1.57E-04;3;1.57E-04
32;3;0.000157175;0.000157175;3;0.000157175
33;2;0.000104783;0.000104783;2;0.000104783
34;2;1.05E-04;1.05E-04;2;1.05E-04
35;2;1.05E-04;1.05E-04;2;1.05E-04
36;2;0.000104783;0.000104783;2;0.000104783
