deltaMin;Amount;P(X|Match);;Amount;P(X|Match)
0;3977;0.208361712;0.208361712;3977;0.208361712
1;9439;0.494525069;0.494525069;9439;0.494525069
2;2416;0.126578299;0.126578299;2416;0.126578299
3;1086;0.056897365;0.056897365;1086;0.056897365
4;580;0.030387175;0.030387175;580;0.030387175
5;390;0.020432755;0.020432755;390;0.020432755
6;287;0.015036412;0.015036412;287;0.015036412
7;204;0.010687903;0.010687903;204;0.010687903
8;142;0.007439619;0.007439619;142;0.007439619
9;110;0.005763085;0.005763085;110;0.005763085
10;80;0.004191334;0.004191334;80;0.004191334
11;70;0.003667418;0.003667418;70;0.003667418
12;61;0.003195892;0.003195892;61;0.003195892
13;39;0.002043276;0.002043276;39;0.002043276
14;44;0.002305234;0.002305234;44;0.002305234
15;36;0.0018861;0.0018861;36;0.0018861
16;28;0.001466967;0.001466967;28;0.001466967
17;18;0.00094305;0.00094305;18;0.00094305
18;20;0.001047834;0.001047834;20;0.001047834
19;13;0.000681092;0.000681092;13;0.000681092
20;8;0.000419133;0.000419133;8;0.000419133
21;12;0.0006287;0.0006287;12;0.0006287
22;6;0.00031435;0.00031435;6;0.00031435
23;5;0.000261958;0.000261958;5;0.000261958
24;4;0.000209567;0.000209567;4;0.000209567
25;2;0.000104783;0.000104783;2;0.000104783
26;1;5.24E-05;5.24E-05;1;5.24E-05
27;1;5.24E-05;5.24E-05;1;5.24E-05
28;4;0.000209567;0.000209567;4;0.000209567
29;1;5.24E-05;5.24E-05;1;5.24E-05
30;1;5.24E-05;5.24E-05;1;5.24E-05
31;1;5.24E-05;5.24E-05;1;5.24E-05
32;2;1.05E-04;1.05E-04;2;1.05E-04
33;1;5.24E-05;5.24E-05;1;5.24E-05
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
